"attr_code";"area_code";"value";"ts_start";"ts"
"Blochholz Buche Kl. B 3";"Österreich";"77.9";"2012-11-01";"1351728000000"
"Blochholz Fichte/Tanne Kl. B Media 2b";"Österreich";"97.81";"2012-11-01";"1351728000000"
"Blochholz Kiefer Kl. B 2a +";"Österreich";"73.59";"2012-11-01";"1351728000000"
"Blochholz Buche Kl. B 3";"Österreich";"76.58";"2012-12-01";"1354320000000"
"Blochholz Fichte/Tanne Kl. B 3a";"Österreich";"98.94";"2012-12-01";"1354320000000"
"Blochholz Fichte/Tanne Kl. B Media 2b";"Österreich";"97.2";"2012-12-01";"1354320000000"
"Blochholz Kiefer Kl. B 2a +";"Österreich";"75.62";"2012-12-01";"1354320000000"
"Blochholz Buche Kl. B 3";"Österreich";"76.94";"2013-01-01";"1356998400000"
"Blochholz Kiefer Kl. B 2a +";"Österreich";"74.65";"2013-01-01";"1356998400000"
"Blochholz Fichte/Tanne Kl. B Media 2b";"Österreich";"97.75";"2013-01-01";"1356998400000"
"Blochholz Fichte/Tanne Kl. B 3a";"Österreich";"98.7";"2013-01-01";"1356998400000"
"Blochholz Fichte/Tanne Kl. B 3a";"Österreich";"98.98";"2013-02-01";"1359676800000"
"Blochholz Buche Kl. B 3";"Österreich";"76.94";"2013-02-01";"1359676800000"
"Blochholz Fichte/Tanne Kl. B Media 2b";"Österreich";"97.63";"2013-02-01";"1359676800000"
"Blochholz Kiefer Kl. B 2a +";"Österreich";"74.58";"2013-02-01";"1359676800000"
"Blochholz Kiefer Kl. B 2a +";"Österreich";"74.71";"2013-03-01";"1362096000000"
"Blochholz Buche Kl. B 3";"Österreich";"76.94";"2013-03-01";"1362096000000"
"Blochholz Fichte/Tanne Kl. B 3a";"Österreich";"99.16";"2013-03-01";"1362096000000"
"Blochholz Fichte/Tanne Kl. B Media 2b";"Österreich";"97.52";"2013-03-01";"1362096000000"
"Blochholz Fichte/Tanne Kl. B 3a";"Österreich";"99.98";"2013-04-01";"1364774400000"
"Blochholz Kiefer Kl. B 2a +";"Österreich";"74.71";"2013-04-01";"1364774400000"
"Blochholz Fichte/Tanne Kl. B Media 2b";"Österreich";"98.22";"2013-04-01";"1364774400000"
"Blochholz Buche Kl. B 3";"Österreich";"76.94";"2013-04-01";"1364774400000"
"Blochholz Kiefer Kl. B 2a +";"Österreich";"74.63";"2013-05-01";"1367366400000"
"Blochholz Fichte/Tanne Kl. B 3a";"Österreich";"100.55";"2013-05-01";"1367366400000"
"Blochholz Buche Kl. B 3";"Österreich";"74.76";"2013-05-01";"1367366400000"
"Blochholz Fichte/Tanne Kl. B Media 2b";"Österreich";"98.63";"2013-05-01";"1367366400000"
"Blochholz Buche Kl. B 3";"Österreich";"74.76";"2013-06-01";"1370044800000"
"Blochholz Fichte/Tanne Kl. B Media 2b";"Österreich";"98.66";"2013-06-01";"1370044800000"
"Blochholz Kiefer Kl. B 2a +";"Österreich";"74.61";"2013-06-01";"1370044800000"
"Blochholz Fichte/Tanne Kl. B 3a";"Österreich";"100.82";"2013-06-01";"1370044800000"
"Blochholz Fichte/Tanne Kl. B 3a";"Österreich";"101.15";"2013-07-01";"1372636800000"
"Blochholz Kiefer Kl. B 2a +";"Österreich";"75.08";"2013-07-01";"1372636800000"
"Blochholz Fichte/Tanne Kl. B Media 2b";"Österreich";"99.44";"2013-07-01";"1372636800000"
"Blochholz Buche Kl. B 3";"Österreich";"74.76";"2013-07-01";"1372636800000"
"Blochholz Buche Kl. B 3";"Österreich";"76.44";"2013-08-01";"1375315200000"
"Blochholz Kiefer Kl. B 2a +";"Österreich";"75.27";"2013-08-01";"1375315200000"
"Blochholz Fichte/Tanne Kl. B Media 2b";"Österreich";"99.47";"2013-08-01";"1375315200000"
"Blochholz Fichte/Tanne Kl. B 3a";"Österreich";"100.92";"2013-08-01";"1375315200000"
"Blochholz Fichte/Tanne Kl. B Media 2b";"Österreich";"100.05";"2013-09-01";"1377993600000"
"Blochholz Buche Kl. B 3";"Österreich";"76.44";"2013-09-01";"1377993600000"
"Blochholz Kiefer Kl. B 2a +";"Österreich";"76.11";"2013-09-01";"1377993600000"
"Blochholz Fichte/Tanne Kl. B 3a";"Österreich";"101.21";"2013-09-01";"1377993600000"
"Blochholz Fichte/Tanne Kl. B 3a";"Österreich";"101.76";"2013-10-01";"1380585600000"
"Blochholz Fichte/Tanne Kl. B Media 2b";"Österreich";"99.85";"2013-10-01";"1380585600000"
"Blochholz Buche Kl. B 3";"Österreich";"72.6";"2013-10-01";"1380585600000"
"Blochholz Kiefer Kl. B 2a +";"Österreich";"76.57";"2013-10-01";"1380585600000"
"Blochholz Fichte/Tanne Kl. B 3a";"Österreich";"101.89";"2013-11-01";"1383264000000"
"Blochholz Buche Kl. B 3";"Österreich";"73.52";"2013-11-01";"1383264000000"
"Blochholz Fichte/Tanne Kl. B Media 2b";"Österreich";"100.58";"2013-11-01";"1383264000000"
"Blochholz Kiefer Kl. B 2a +";"Österreich";"76.57";"2013-11-01";"1383264000000"
"Blochholz Fichte/Tanne Kl. B 3a";"Österreich";"102.6";"2013-12-01";"1385856000000"
"Blochholz Buche Kl. B 3";"Österreich";"76.1";"2013-12-01";"1385856000000"
"Blochholz Fichte/Tanne Kl. B Media 2b";"Österreich";"101.01";"2013-12-01";"1385856000000"
"Blochholz Kiefer Kl. B 2a +";"Österreich";"77.15";"2013-12-01";"1385856000000"
"Blochholz Buche Kl. B 3";"Österreich";"76.62";"2014-01-01";"1388534400000"
"Blochholz Kiefer Kl. B 2a +";"Österreich";"77.71";"2014-01-01";"1388534400000"
"Blochholz Fichte/Tanne Kl. B Media 2b";"Österreich";"101.11";"2014-01-01";"1388534400000"
"Blochholz Fichte/Tanne Kl. B 3a";"Österreich";"103.13";"2014-01-01";"1388534400000"
"Blochholz Fichte/Tanne Kl. B Media 2b";"Österreich";"101.23";"2014-02-01";"1391212800000"
"Blochholz Kiefer Kl. B 2a +";"Österreich";"77.7";"2014-02-01";"1391212800000"
"Blochholz Fichte/Tanne Kl. B 3a";"Österreich";"103.15";"2014-02-01";"1391212800000"
"Blochholz Buche Kl. B 3";"Österreich";"76.62";"2014-02-01";"1391212800000"
"Blochholz Buche Kl. B 3";"Österreich";"76.62";"2014-03-01";"1393632000000"
"Blochholz Fichte/Tanne Kl. B 3a";"Österreich";"102.41";"2014-03-01";"1393632000000"
"Blochholz Fichte/Tanne Kl. B Media 2b";"Österreich";"100.83";"2014-03-01";"1393632000000"
"Blochholz Kiefer Kl. B 2a +";"Österreich";"77.33";"2014-03-01";"1393632000000"
"Blochholz Buche Kl. B 3";"Österreich";"76.86";"2014-04-01";"1396310400000"
"Blochholz Fichte/Tanne Kl. B Media 2b";"Österreich";"98.87";"2014-04-01";"1396310400000"
"Blochholz Kiefer Kl. B 2a +";"Österreich";"74.88";"2014-04-01";"1396310400000"
"Blochholz Fichte/Tanne Kl. B 3a";"Österreich";"99.98";"2014-04-01";"1396310400000"
"Blochholz Kiefer Kl. B 2a +";"Österreich";"74.02";"2014-05-01";"1398902400000"
"Blochholz Fichte/Tanne Kl. B Media 2b";"Österreich";"98.6";"2014-05-01";"1398902400000"
"Blochholz Buche Kl. B 3";"Österreich";"82.99";"2014-05-01";"1398902400000"
"Blochholz Fichte/Tanne Kl. B 3a";"Österreich";"99.14";"2014-05-01";"1398902400000"
"Blochholz Fichte/Tanne Kl. B Media 2b";"Österreich";"96.97";"2014-06-01";"1401580800000"
"Blochholz Fichte/Tanne Kl. B 3a";"Österreich";"98.69";"2014-06-01";"1401580800000"
"Blochholz Kiefer Kl. B 2a +";"Österreich";"73.74";"2014-06-01";"1401580800000"
"Blochholz Buche Kl. B 3";"Österreich";"82.99";"2014-06-01";"1401580800000"
